,id,url,date,content,username,replyCount,retweetCount,likeCount,quoteCount,hashtags
34,1.50731E+18,https://twitter.com/davelackie/status/1507311332848291841,2022-03-25 11:00:00+00:00,"Celeb makeup artist Lisa Eldridge creates some of the most luxurious lipstick products. I'm giving away her Luxuriously Lucent Lip Colour in shade ""Dance Card"". To enter, RT &amp; follow @davelackie (ends 29/03) #win https://t.co/JB4fxop7fw",davelackie,195,1876,1308,43,['win']
35,1.50373E+18,https://twitter.com/davelackie/status/1503731095392722947,2022-03-15 13:53:25+00:00,Big congrats this morning to @Upsetminded I just drew that name for the beautiful Lisa Eldridge eyeshadow. Lots more to come!!,davelackie,57,22,234,0,
36,1.50225E+18,https://twitter.com/davelackie/status/1502253007378870276,2022-03-11 12:00:02+00:00,"My next luxe beauty Twitter giveaway is Lisa Eldridge's Liquid Lurex Liquid Eyeshadow in shade ""Bianca"". This is an almost weightless formula that promises longwear and no creasing. To enter, follow @davelackie &amp; RT (end 15/03) #win https://t.co/Mp4BZKBxZJ",davelackie,211,1926,1311,48,['win']
37,1.48789E+18,https://twitter.com/davelackie/status/1487885254291595268,2022-01-30 20:27:42+00:00,@gonzo_30531 @LisaEldridge Happy Valentine's from very cold Canada!!!,davelackie,1,2,11,0,
38,1.482E+18,https://twitter.com/davelackie/status/1482002620113993728,2022-01-14 14:52:13+00:00,Hurray!! I just drew a winning name from the Netherlands! Congrats to @ReginaCocco who wins the Lisa Eldridge blush. More to come!!,davelackie,65,24,240,1,
39,1.47559E+18,https://twitter.com/davelackie/status/1475592234556964868,2021-12-27 22:19:38+00:00,@AdeleAwright @Lisa_Eldridge I knew you'd love that shade. Thanks again for the incredible tote. It's a work of art!!,davelackie,1,1,13,0,
40,1.45154E+18,https://twitter.com/davelackie/status/1451543306639446022,2021-10-22 13:37:47+00:00,@AdeleAwright Hi Adele. Happy Friday. Just got a package from Lisa Eldridge - here new fall velvet lipsticks are beautiful deep shades.,davelackie,1,2,17,0,
41,1.44789E+18,https://twitter.com/davelackie/status/1447886963978219522,2021-10-12 11:28:47+00:00,Hurray! I just drew a winning name from the U.S. Congrats to @BaBy_J_55 who wins the Lisa Eldridge Enlivening Blush duo. More to come,davelackie,63,20,250,1,
42,1.44643E+18,https://twitter.com/davelackie/status/1446430173289762846,2021-10-08 11:00:01+00:00,"My next giveaway is the buzz-worthy Enlivening Blush from UK makeup artist Lisa Eldridge. I'm giving away shades ""pink poetry"" and ""island glow"". To enter, follow @davelackie + @NinaWestbury &amp; RT (ends 12/10) #win https://t.co/BuaOD4rLwE",davelackie,136,1531,1035,31,['win']
43,1.4363E+18,https://twitter.com/davelackie/status/1436302408376848388,2021-09-10 12:15:54+00:00,Big congrats this morning to @Lipstick_Kitty I just drew her name for the Lisa Eldridge Lip Gloss duo. Lots more to come!! Good luck to all!,davelackie,66,24,247,1,
44,1.4352E+18,https://twitter.com/davelackie/status/1435196148239720450,2021-09-07 11:00:01+00:00,"My next luxe beauty Twitter giveaway is this pair of Lisa Eldridge Gloss Embrace in Delilah &amp; Songbird - beautiful lip glosses. To enter, RT &amp; follow @davelackie (ends 10/09) #win https://t.co/F9d6l1p3JS",davelackie,173,1809,1245,42,['win']
45,1.35119E+18,https://twitter.com/davelackie/status/1351186900237901827,2021-01-18 15:17:15+00:00,@Loretawith1T So pleased you won Lisa Eldridge. I'm packing it up for you now.,davelackie,1,1,3,0,
46,1.35116E+18,https://twitter.com/davelackie/status/1351160177756614658,2021-01-18 13:31:04+00:00,Congratulations this morning to @Loretawith1T I just drew her name for the Lisa Eldridge lip gloss. More to come!,davelackie,67,15,353,3,
47,1.35059E+18,https://twitter.com/davelackie/status/1350593677580595200,2021-01-17 00:00:00+00:00,"Today's luxe makeup giveaway is Lisa Eldridge Lip Gloss in shade ""Go Lightly"". To enter, RT &amp; follow @davelackie https://t.co/3YRe4kOl9l",davelackie,65,1695,1090,7,
48,1.35041E+18,https://twitter.com/davelackie/status/1350412489050230784,2021-01-16 12:00:01+00:00,"Celebrity makeup artist Lisa Eldridge has developed an ultra-comfortable lip gloss. I'm celebrating by giving away shade ""Go Lightly"" on Twitter. To enter, follow @davelackie &amp; RT https://t.co/DnN3fW0grA",davelackie,93,2013,1268,14,
49,1.3483E+18,https://twitter.com/davelackie/status/1348303336005623816,2021-01-10 16:19:00+00:00,"According to celebrity makeup artist Lisa Eldridge, every woman needs a pinky-brown lip colour in her wardrobe. Lisa finds it is flattering on almost all skin tones and ages. Some brands call the shade ""rosewood'. #protip",davelackie,26,69,365,6,['protip']
50,1.31638E+18,https://twitter.com/davelackie/status/1316377474499055618,2020-10-14 13:57:01+00:00,"Excited to see that @Lisa_Eldridge has just launched new product. I'm swooning over the Fantasy Florals Lip Kits with the velvet garden print pouch, a True Velvet Lipstick, Gloss Embrace &amp; Shape &amp; Define Lip Pencil. Available at https://t.co/kMjtCgvAcG Gorgeous! https://t.co/Img2HmSDku",davelackie,32,71,313,4,
51,1.3055E+18,https://twitter.com/davelackie/status/1305499308851163136,2020-09-14 13:31:04+00:00,Big congrats this morning to @meenalaregina We just drew her name for the Lisa Eldridge lipstick duo. More to come,davelackie,65,26,258,1,
52,1.30456E+18,https://twitter.com/davelackie/status/1304555319570436096,2020-09-11 23:00:00+00:00,"I'm giving away Lisa Eldridge's luxe velvet lipstick in ""Velvet Jazz"" and ""Velvet Ribbon"". Beautiful formula. To enter, RT &amp; follow @davelackie https://t.co/1SM3ot3WDj",davelackie,103,1904,1117,22,
53,1.30437E+18,https://twitter.com/davelackie/status/1304374131417210880,2020-09-11 11:00:01+00:00,"Today's luxe beauty giveaway is a special one. I'm giving away Lisa Eldridge's Velvet Jazz and Velvet Ribbon lipstick. One of the most luxurious lipsticks on the market. To enter, follow @davelackie &amp; RT https://t.co/muc2XcvK7t",davelackie,120,1793,1079,29,
54,1.23014E+18,https://twitter.com/davelackie/status/1230141315628834823,2020-02-19 14:45:19+00:00,Hurray!! We drew a winning name from the UK today. Congrats to @mummyantill We drew her name for the Lisa Eldridge lipstick duo. More to come!,davelackie,55,17,257,0,
55,1.22956E+18,https://twitter.com/davelackie/status/1229556130507972608,2020-02-18 00:00:00+00:00,"Excited to be giving away this pair of amazing Lisa Eldridge Velvet Lipsticks in Velvet Beauty and Velvet Fawn. To enter, RT &amp; follow @davelackie https://t.co/tEVn9ErJa1",davelackie,126,2272,1312,27,
56,1.22937E+18,https://twitter.com/davelackie/status/1229374937409785857,2020-02-17 12:00:00+00:00,"Today's luxe beauty giveaway is a pair of luxurious Lisa Eldridge Velvet Lipsticks. I'm giving away shades Velvet Beauty &amp; Velvet Fawn on Twitter. To enter, follow @davelackie &amp; RT https://t.co/zkgjAVVUZB",davelackie,206,2778,1604,34,
57,1.21455E+18,https://twitter.com/davelackie/status/1214547789079822336,2020-01-07 14:02:12+00:00,Looking for a beauty book to start off the New Year with? @Lisa_Eldridge 's Face Paint is a fascinating history of makeup and beauty from Egyptian and Classical times through the Victorian age and the golden age of Hollywood. It's a really interesting read. #protip https://t.co/quRr7OLldg,davelackie,14,60,243,0,['protip']
58,1.20802E+18,https://twitter.com/davelackie/status/1208021528966770693,2019-12-20 13:49:11+00:00,@DelectionPie @Lisa_Eldridge It was fascinating to watch them work. It was so hot they worked in shorts and t-shorts. No safety goggles! lol,davelackie,1,1,1,0,
59,1.19355E+18,https://twitter.com/davelackie/status/1193553249254727680,2019-11-10 15:37:24+00:00,@AdeleAwright @Lisa_Eldridge I'm going to show them on Cityline next month. So gorgeous!!!,davelackie,2,1,9,0,
60,1.19355E+18,https://twitter.com/davelackie/status/1193547598575083520,2019-11-10 15:14:57+00:00,The incredible @Lisa_Eldridge is back with her New Velvets Lipstick Collection. See why these lipsticks sell out in literally minutes: https://t.co/shS5Gw7R46 The lipstick bullets look like they've been wrapped in velvet fabric. Amazing! https://t.co/lZuRFSYcKg,davelackie,24,74,273,2,
61,1.19317E+18,https://twitter.com/davelackie/status/1193168729984716800,2019-11-09 14:09:27+00:00,@AdeleAwright @linlett60 Happy weekend Adele! Good idea to take it easy this weekend. Just got Lisa Eldridge's new velvets. Will post about them soon. Gorgeous!! xo,davelackie,1,1,5,0,
62,1.19245E+18,https://twitter.com/davelackie/status/1192450101895192576,2019-11-07 14:33:53+00:00,@angelathompson5 very good choice. Lisa Eldridge creates all those reds you love for Lancome,davelackie,1,1,2,0,
63,1.15981E+18,https://twitter.com/davelackie/status/1159811468059127813,2019-08-09 12:59:36+00:00,"@AdeleAwright @Cityline @thetracymoore @Lisa_Eldridge @Sephora Okay, the reaction to them the first time was incredible. But my microphone kept cutting out so I had to tape the segment 3 times. By the third time, they were like ""yeh, we've seen that"" lol",davelackie,3,1,7,0,
64,1.15981E+18,https://twitter.com/davelackie/status/1159811151171076096,2019-08-09 12:58:21+00:00,@Mother3Teresa @Cityline @thetracymoore @Lisa_Eldridge @Sephora that is so great. Hope you enjoy!! Happy weekend,davelackie,1,1,3,0,
65,1.15979E+18,https://twitter.com/davelackie/status/1159785804245413889,2019-08-09 11:17:38+00:00,@AdeleAwright @Cityline @thetracymoore @Lisa_Eldridge @Sephora The Lisa Eldridge lipsticks look so fab on screen,davelackie,4,1,14,0,
66,1.15978E+18,https://twitter.com/davelackie/status/1159784050422439936,2019-08-09 11:10:40+00:00,"Be sure to watch @Cityline with @thetracymoore this morning 9 am EST (&amp; streams live at https://t.co/W1pfbYRmOA) I'll be showing new @Lisa_Eldridge Dior, NARS, Bvlgari, @Sephora and more!!",davelackie,32,71,266,4,
67,1.15947E+18,https://twitter.com/davelackie/status/1159465468224266240,2019-08-08 14:04:44+00:00,"Be sure to watch @Cityline Friday morning 9 am EST (streams live at https://t.co/W1pfbYRmOA) I'll be showing this month's hottest beauty launches including Sephora, Dior, Lisa Eldridge, NARS and more. https://t.co/nh7pHHzYMv",davelackie,18,65,269,6,
68,1.09292E+18,https://twitter.com/davelackie/status/1092921798910341120,2019-02-05 23:03:57+00:00,@LauraLouMakeup Congrats Laura!! I'm sending you a pair of Lancome L'Absolu Lacquers! Please DM me your contact info. Cheers!! @_katiemeehan,davelackie,3,2,11,0,
69,1.12826E+18,https://twitter.com/davelackie/status/1128256603281604609,2019-05-14 11:11:50+00:00,@ermine_violin @NinaWmakeup @safiyajn @nailogical @JeffreeStar @GlamLifeGuru that is such a good question for @NinaWmakeup She will know,davelackie,2,1,13,0,
70,1.12339E+18,https://twitter.com/davelackie/status/1123392006556798977,2019-05-01 01:01:40+00:00,@StevieLopezMUA @Lisa_Eldridge @GlamLifeGuru @JeffreeStar @kristinaxmakeup @NikkieTutorials @SirJohnInt @thataylaa I really like Lisa too. But I'm more impressed with her heart and how she interacts with everyone. That to me is her beauty!!,davelackie,1,2,4,0,
71,1.12339E+18,https://twitter.com/davelackie/status/1123390361307496448,2019-05-01 00:55:08+00:00,@StevieLopezMUA @Lisa_Eldridge @GlamLifeGuru @JeffreeStar @kristinaxmakeup @NikkieTutorials @SirJohnInt @thataylaa you are really talented Stevie!!!,davelackie,1,1,2,0,
72,1.09911E+18,https://twitter.com/davelackie/status/1099109779018924034,2019-02-23 00:52:46+00:00,"@newtricksmakeup @aveda @norvina1 @JeffreeStar I believe you need to follow your heart. If this is something you truly love, I think it is worth going after.",davelackie,3,1,36,0,
73,1.41345E+18,https://twitter.com/davelackie/status/1413452875812917252,2021-07-09 11:00:00+00:00,"My next Twitter giveaway is Italian skincare brand Teaology's all-in-one beauty balm Happy Skin. It nourishes, soothes &amp; hydrates all skin types. Packed with antioxidants, plant ceramides &amp; shea butter. To enter, RT &amp; follow @davelackie (ends 13/07) #win Great for stressed skin! https://t.co/eHt3xNmNhh",davelackie,152,1867,1232,48,['win']
74,1.35604E+18,https://twitter.com/davelackie/status/1356037042375897088,2021-02-01 00:29:59+00:00,"@Rozeenakarim @hudabeauty @Lillylashes1 Wow, that is so colourful and creative. Great job, Rozeena",davelackie,1,2,2,0,
75,1.35455E+18,https://twitter.com/davelackie/status/1354552306835075072,2021-01-27 22:10:10+00:00,@Rozeenakarim @MorpheBrushes @SuvaBeauty @hudabeauty @LisaFrank It's so cheerful,davelackie,1,1,1,0,
76,1.35455E+18,https://twitter.com/davelackie/status/1354548318844702723,2021-01-27 21:54:20+00:00,@Rozeenakarim @MorpheBrushes @SuvaBeauty @hudabeauty @LisaFrank so fun!!! Love all the colour,davelackie,1,1,1,0,
77,1.25442E+18,https://twitter.com/davelackie/status/1254421101725265922,2020-04-26 14:44:31+00:00,@Rozeenakarim @hudabeauty @ColourPopCo @stilacosmetics That's really nice!!! Great job,davelackie,1,1,1,0,
78,1.10983E+18,https://twitter.com/davelackie/status/1109828052979048451,2019-03-24 14:43:22+00:00,@SerendipityEm7 @MACcosmetics @Nordstrom @norvina1 @beautybakerie @SahiCosmetics @hudabeauty @bhcosmetics @tartecosmetics @Trendmood I completely agree. I know Clinique has a program too at certain retailers like Hudson's Bay. Buy 7 products and get the 8th free. Back to MAC is probably the most famous.,davelackie,1,3,16,0,
79,1.0915E+18,https://twitter.com/davelackie/status/1091503229093928961,2019-02-02 01:07:03+00:00,@HelenaofTroy60 @hudabeauty great shades!,davelackie,1,1,1,0,
80,1.54952E+18,https://twitter.com/temptalia/status/1549524264683851776,2022-07-19 22:39:08+00:00,Oh my god 😭🥺😍 https://t.co/ZVvIe76uXp,temptalia,3,6,88,0,
81,1.54911E+18,https://twitter.com/temptalia/status/1549107163888553984,2022-07-18 19:01:43+00:00,New on the blog -- Maybelline Super Stay Vinyl Ink Liquid Lipcolor Swatches -- Read now:  https://t.co/yW7Ro8Hx7c https://t.co/NyeVEJhPEt,temptalia,1,1,9,0,
82,1.54815E+18,https://twitter.com/temptalia/status/1548145674578829312,2022-07-16 03:21:06+00:00,"First time foster and I’ve got these two lil’ pups! Amazing that they’re from the same litter, but I learned a female dog can get be impregnated by multiple male dogs 😮

Bamba (furrier and grayer) and Ozzie (smooth, black coat). They’ll be available for adoption soon. https://t.co/rJEicsbCWt",temptalia,4,5,50,0,
83,1.53562E+18,https://twitter.com/temptalia/status/1535623144127582208,2022-06-11 14:01:02+00:00,New on the blog -- Lisa Eldridge Pink Moon Elevated Glow Review &amp; Swatches -- Read now:  https://t.co/H2vCamH10P https://t.co/71lqnuiq43,temptalia,1,1,12,0,
84,1.40382E+18,https://twitter.com/temptalia/status/1403820068434239492,2021-06-12 21:02:40+00:00,New on the blog -- Lisa Eldridge Pink Soap Enlivening Blush Review &amp; Swatches -- Read now:  https://t.co/iuT5tjQXkr https://t.co/dQgnOr3QfA,temptalia,1,1,16,0,
85,1.14072E+18,https://twitter.com/temptalia/status/1140717655403433984,2019-06-17 20:27:37+00:00,New on the blog -- Jaclyn Hill Lipsticks | Dupes -- Read now:  https://t.co/xOx8I3i7kP https://t.co/7LdIxe51M4,temptalia,2,9,35,1,
86,1.1378E+18,https://twitter.com/temptalia/status/1137801950924234752,2019-06-09 19:21:39+00:00,"@JustWhatcause @Eleyvabby @MarlenaStell @Jaclynhill This is definitely abnormal! There are a lot of things on it, as well as both white/black pieces.  ""A lipstick that's noticeably fuzzy with more than one long or two smaller pieces? Yes, that is concerning"" &lt;-- from my post! :)",temptalia,1,1,36,0,
87,1.13777E+18,https://twitter.com/temptalia/status/1137767552552226821,2019-06-09 17:04:57+00:00,New on the blog -- Just what is normal in your lipsticks? A Jaclyn Hill Lipsticks Follow-up! -- Read now:  https://t.co/8W7fTN9Swe https://t.co/Jai8giHRGW,temptalia,31,87,605,32,
88,1.137E+18,https://twitter.com/temptalia/status/1137000092488089601,2019-06-07 14:15:21+00:00,New on the blog -- Jaclyn Hill Cosmetics So Rich Lipsticks | Swatches -- Read now:  https://t.co/90J3ZdXbR7 https://t.co/L6eHIGdt59,temptalia,3,4,36,0,
89,1.13167E+18,https://twitter.com/temptalia/status/1131666845394657280,2019-05-23 21:02:55+00:00,"Very curious to try these. 20 lipsticks, wow! Congrats @Jaclynhill! https://t.co/hsB6SHBWXd",temptalia,2,1,27,0,
90,1.46325E+18,https://twitter.com/xoShaaan/status/1463245787706523650,2021-11-23 20:39:16+00:00,Reorganising &amp; Declutter ♻️new storage &amp; moving things around! https://t.co/R70lamg9zv https://t.co/5KNh9oS8kX,xoShaaan,1,4,65,0,
91,1.45313E+18,https://twitter.com/xoShaaan/status/1453129993081348102,2021-10-26 22:42:42+00:00,really...? 💀 first impressions of RARE BEAUTY by SELENA GOMEZ 💕 https://t.co/XvYZpiwnup https://t.co/8xb1REsEKx,xoShaaan,2,4,57,0,
