username,content,date,country,replyCount,retweetCount,likeCount,url,inference,verified,followersCount,id
thebeautygoat,join me this weekend and learn how to slay your face last day to register for this weekend class be tomorrow there be only 3 spot leave double_exclamation_mark do not miss it lipstick artist_palette,2022-08-18 17:40:28+00:00,Argentina,0,0,1,https://twitter.com/thebeautygoat/status/1560320740704096265,Positive Sentiment,FALSE,182,1b1a502e
WupengH,skull tarot bag halloween tarot pouch spectacle tarot bag black cat and skulls bag for cosmetics run crystals divination charm raised_hand,2022-08-30 13:25:44+00:00,Argentina,0,0,0,https://twitter.com/WupengH/status/1564605290523176962,Neutral Sentiment,FALSE,97,60e79107
lauratermini,i will dedicate this article to the care of our face with an international mask japanese rice mask backhand_index_pointing_right,2022-08-20 20:00:00+00:00,Argentina,0,0,0,https://twitter.com/lauratermini/status/1561080631269871616,Neutral Sentiment,TRUE,16101,47f78b9f
EvmeSkincare,change your sincere change the world it be time for to become let us make history tag someone who be brave,2022-08-06 18:01:07+00:00,Argentina,0,0,0,https://twitter.com/EvmeSkincare/status/1555977281218265090,Positive Sentiment,FALSE,58,9e0c8fcf
Jrkresearch1,spark verdana skin write cream improve the skin tone and lighten the dark spot pump up the skin woman_tipping_hand_light_skin_tone it flourish the skin and provide desire moisturization to know more do visit our website globe_with_meridian mobile_phone_with_arrow report from,2022-08-19 11:13:48+00:00,Argentina,0,1,0,https://twitter.com/Jrkresearch1/status/1560585819899195392,Positive Sentiment,FALSE,34,c6dd6507
GwenStefaniLov2,need to get out the door quick i do this simple look in 10 minutes use mostly give products want tip and trick free products need advice i be here get a free brow pencil until 8 31,2022-08-30 18:16:36+00:00,Argentina,0,2,15,https://twitter.com/GwenStefaniLov2/status/1564678489135005697,Neutral Sentiment,FALSE,612,5a8eab24
jillionaire5,so good i have to share check out all the items i be love on,2022-08-08 11:31:37+00:00,Argentina,0,0,0,https://twitter.com/jillionaire5/status/1556604036660441088,Positive Sentiment,FALSE,6,3896c34a
vosacofficial,let us welcome the smooth bounty and shiny hair with vocal s onion conditioner shop now telephone_receiver 91 7888354680 globe_with_meridian e mail info vocal,2022-08-19 10:09:14+00:00,Argentina,0,0,0,https://twitter.com/vosacofficial/status/1560569572771524608,Neutral Sentiment,FALSE,10,ffd92c4b
ZeeZest_,all this haircare but your hair do not care weary_face find the best pick for your hair,2022-08-22 10:30:00+00:00,Argentina,0,0,0,https://twitter.com/ZeeZest_/status/1561661961577738240,Positive Sentiment,FALSE,507730,1c647fd0
Hugo__Sanders,i be not feel my best physically today but at least my be last night at courtesy of orange_heart black_heart leigh north carolina,2022-08-07 11:25:19+00:00,Mexico,0,0,0,https://twitter.com/Hugo__Sanders/status/1556240065898037250,Negative Sentiment,FALSE,288,2b0f95bf
namanyaboaz,say i be enemies with be because of my nose nose face_with_tears_of_joy ahundikukwatiraho buddy oryakitebeza ba shwenkuriwe face_with_tears_of_joy grinding_quitting_face face_with_tears_of_joy face_with_tears_of_joy,2022-08-26 06:00:12+00:00,Argentina,5,0,11,https://twitter.com/namanyaboaz/status/1563043615492157442,Negative Sentiment,FALSE,2570,5635c5cb
frafrasnaturals,fresh cool refresh stay beautiful with fra fra s mini sincere fridge the fra fra s mini sincere fridge be design to keep your sincere products extra fresh and cool so they be extra effective your pore will love you for it and so will your skin,2022-07-07 02:42:01+00:00,Argentina,0,0,0,https://twitter.com/frafrasnaturals/status/1544874346316963840,Positive Sentiment,FALSE,58,d46e0847
neurosensum,recap_8 days be leave for our upcoming on indonesian beauty trend and neuro market star strike tap here to grab your seat now backhand_index_pointing_right mark the date pushpin tear off_calendar thursday 9th june 2022 two_o clock 2 pm jakarta time,2022-06-03 08:19:54+00:00,Argentina,0,1,1,https://twitter.com/neurosensum/status/1532638191999922176,Neutral Sentiment,FALSE,79,47039dc8
time_raki,proactive hydration facial tower for sensitive skin alcohol free tower for face care pore tighten glycol acid and witch hazel formula acne tower to balance skin and remove impurities 6 oz alcoholvisit this link gt gt,2022-08-19 10:48:56+00:00,Argentina,0,0,1,https://twitter.com/time_raki/status/1560579562173394945,Positive Sentiment,FALSE,5,0c7db726
AikenMalaysia,we have get a new range come soon astonished_face star strike star strike stay tune on our fb and ig page for more update,2022-03-01 03:24:17+00:00,Argentina,0,1,11,https://twitter.com/AikenMalaysia/status/1498499339525947393,Neutral Sentiment,FALSE,747,9cfa63a7
PrettyPriice,come shop amp book with me all professional products with a license esthetician,2022-07-19 18:49:02+00:00,Argentina,0,1,0,https://twitter.com/PrettyPriice/status/1549466361394368512,Neutral Sentiment,FALSE,729,a1d39a4a
bluemercury,be we the only ones,2022-08-30 22:23:06+00:00,Argentina,1,0,4,https://twitter.com/bluemercury/status/1564740522853416960,Neutral Sentiment,FALSE,12059,054f29fd
JaneCowanWax,education never end in my field red_heart blue_heart white_heart pink moon fa jane conan facial and wave,2022-08-01 00:07:06+00:00,Argentina,0,0,0,https://twitter.com/JaneCowanWax/status/1553895059396956160,Neutral Sentiment,FALSE,449,bdfe3b0a
Kasdeya83,wild science lab bright start spf 30 broad spectrum uv shield 10ml via,2022-08-29 13:24:50+00:00,Argentina,0,0,0,https://twitter.com/Kasdeya83/status/1564242675800358912,Neutral Sentiment,FALSE,197,38cfc336
FayesLuxury,the absolute restore eye cream 30 dose a powerful target treatment to lift firm and revitalize,2022-08-28 08:07:42+00:00,Argentina,0,1,0,https://twitter.com/FayesLuxury/status/1563800475710939137,Positive Sentiment,FALSE,2,8ca394a4
lexandjong,treat your skin to a new lush amp conform cleanse experience while know you be treat your skin to a proper clean like no other detoxify foam technology lift amp absorb irritate impurities while respect your skin s delicate moisture mantle,2022-03-07 17:00:45+00:00,Argentina,0,0,0,https://twitter.com/lexandjong/status/1500879133953474560,Positive Sentiment,FALSE,14,3ebf4e99
NetElixir,highlight of this week s include advertise be soar above traditional form of advertise and gen z be respond well to authentic photo share app,2022-08-08 20:01:20+00:00,Argentina,0,0,0,https://twitter.com/NetElixir/status/1556732312456515585,Neutral Sentiment,FALSE,1825,a5b8ed93
Carolyn08299662,start heal your hair with our products with,2022-08-23 07:36:26+00:00,Argentina,0,0,0,https://twitter.com/Carolyn08299662/status/1561980670599016449,Neutral Sentiment,FALSE,328,72efc12e
d_rizsha,try me tweet me with smiling_face_with_heart eye smiling_face_with_heart eye smiling_face_with_heart eye cannot wait to share my experience with these products winning_face,2022-04-05 04:19:26+00:00,Israel,0,0,1,https://twitter.com/d_rizsha/status/1511196793849397253,Positive Sentiment,FALSE,47,bd216288
beautiscience,spark s a t you r d a y s k i n spark sleep beauty the answer be sleep your body need time to rest and replenish give it that give your skin downside we all need a nap anyway face_blowing_a_kiss,2022-08-20 22:13:42+00:00,Argentina,1,0,1,https://twitter.com/beautiscience/status/1561114277397897216,Positive Sentiment,FALSE,146,128a68bc
millionairebty,the perfect pair orange_heart tag a friend who need this in their life smiley,2022-07-28 17:05:01+00:00,Argentina,0,2,1,https://twitter.com/millionairebty/status/1552701675542020097,Neutral Sentiment,FALSE,19,6c1bbd05
GoddessStore,every day be showtime how will i show up today shaft dance goddess,2022-03-22 13:21:26+00:00,Australia,0,0,0,https://twitter.com/GoddessStore/status/1506259758839484418,Neutral Sentiment,FALSE,487,3a1d0f5a
erabeautyusa,skin era face foundation y5 amp y7 quick gram face_blowing_a_kiss for enquiries on book or makeup lessons email or wa 0845729476 check out our sunniesface amp alyssatbeauty range on ___________________________,2022-05-26 19:44:16+00:00,Argentina,0,0,1,https://twitter.com/erabeautyusa/status/1529911315703156737,Neutral Sentiment,FALSE,711,f945ebfe
CarolynDearlove,our fabulous july offer end at midnight tonight twelve_o clock there be still time to treat yourself and save smiling_face,2022-07-31 14:33:27+00:00,Argentina,0,0,0,https://twitter.com/CarolynDearlove/status/1553750695240765441,Neutral Sentiment,FALSE,1110,e169f8b0
WhiteSkinGuide,how to permanently in just days the natural way,2022-08-21 09:34:48+00:00,Argentina,0,0,0,https://twitter.com/WhiteSkinGuide/status/1561285682278064128,Positive Sentiment,FALSE,351,6894f514
GlamJunkiescom,essence und atrice sisterlove collection disney villains see the beauty in everyone right_arrow left_arrow,2022-08-30 19:01:12+00:00,Argentina,0,1,1,https://twitter.com/GlamJunkiescom/status/1564689713503559684,Positive Sentiment,FALSE,38,6285cf95
TheQuin97647322,try our new willow bark anti acne cream for more detail consult with us,2022-08-06 09:05:40+00:00,Argentina,0,0,0,https://twitter.com/TheQuin97647322/status/1555842533883686912,Neutral Sentiment,FALSE,0,0300c9ff
chahyay1,aromatic body list that make you fall in love with yourself the type of mist that last for hours while make you feel free and alive do not wait try it now globe_with_meridian,2022-08-30 12:00:03+00:00,Argentina,0,0,0,https://twitter.com/chahyay1/status/1564583726348046337,Positive Sentiment,FALSE,284,f614debb
DeadSeaTradeCo,jeff leather on his most personal fragrance and his melanie griffith recommend skin care routine,2022-07-01 02:33:59+00:00,Argentina,0,0,0,https://twitter.com/DeadSeaTradeCo/status/1542697997955366912,Neutral Sentiment,FALSE,1,65ed322e
alam1252,how to get glory skin because your skin be your greatest organ you should take care of it more backhand_index_pointing_right,2022-08-08 08:11:55+00:00,Argentina,0,1,1,https://twitter.com/alam1252/status/1556553781734776837,Positive Sentiment,FALSE,0,980d29ce
mrsezbaketwitch,i really love my pour strip i get mine from spark spark,2022-08-28 10:09:41+00:00,Argentina,0,0,1,https://twitter.com/mrsezbaketwitch/status/1563831177336717312,Neutral Sentiment,FALSE,75,50a2649a
Beautywhitton,Diminish your appearance s flaw with Cry Pen heart_exclamation up to 3 lesions treat with reopen price be Px69,2022-08-30 15:12:00+00:00,Argentina,0,0,0,https://twitter.com/Beautywhitton/status/1564632030364971009,Positive Sentiment,FALSE,78,61008910
PrismPop_,what be some of your favorite makeup hack trend sparkling_heart,2022-07-19 18:24:43+00:00,Argentina,0,0,0,https://twitter.com/PrismPop_/status/1549460241493790721,Positive Sentiment,FALSE,100,6fd05dc8
StarrTalk,thank for the number as we go through 2022 it be clear that self care and exterior appearance continue to grow across both physical and online retailers,2022-08-15 20:15:44+00:00,Argentina,0,0,2,https://twitter.com/StarrTalk/status/1559272650681229314,Positive Sentiment,FALSE,1081,318f82b6
ParadeSalon,post just some wed hair and makeup smiling_face_with_heart eye two_hearts west nashville nc,2022-05-26 22:05:25+00:00,Mexico,0,0,0,https://twitter.com/ParadeSalon/status/1529946838006218774,Positive Sentiment,FALSE,29,f2f2c148
Shea_By_Nico,follow us sincere news sheabynico,2022-08-29 12:49:15+00:00,Argentina,0,0,0,https://twitter.com/Shea_By_Nico/status/1564233721003343878,Neutral Sentiment,FALSE,497,4ddfb46f
budsnberriesin,plant your flip worthy dress with toxin free and garden fresh options that will make you smiling_face_with_hearts shop now,2022-08-28 05:31:09+00:00,Argentina,0,0,0,https://twitter.com/budsnberriesin/status/1563761080635052032,Positive Sentiment,TRUE,256,f251de73
ImprintPlus,join beck and maria at booth 54026 in the north build say hello and take a selfie,2022-07-13 17:20:30+00:00,Argentina,0,0,1,https://twitter.com/ImprintPlus/status/1547269751759519744,Neutral Sentiment,FALSE,723,cc03707e
PollyFrayling,tangerine vitamin c be my have beauty ingredient for a stun complexion and this total sincere regime of advance boost heroes be just the thing orange_heart get all 3 for Px26,2022-08-29 11:30:18+00:00,Argentina,0,0,0,https://twitter.com/PollyFrayling/status/1564213851217960960,Positive Sentiment,FALSE,20,aac8c7d2
Melonna5,she your smile smiling_face_with_smiling_eyes,2022-08-30 21:33:14+00:00,Argentina,1,0,3,https://twitter.com/Melonna5/status/1564727970287104000,Positive Sentiment,FALSE,23,f42e2119
evacide,new just drop,2022-08-30 18:34:42+00:00,Argentina,12,16,262,https://twitter.com/evacide/status/1564683042098032640,Neutral Sentiment,TRUE,185854,5233a0c3
TransitionsMP,i be so happy to announce this new service you can now order full makeup kit from me,2022-02-26 03:30:05+00:00,Argentina,0,0,0,https://twitter.com/TransitionsMP/status/1497413634112192514,Positive Sentiment,FALSE,486,1f4df49c
KelynNaturals,this summer try to protect yourself from direct exposure to the sun sun blossom smiling_face_with_sunglasses for more information follow red_heart,2022-06-20 06:20:12+00:00,Argentina,0,0,0,https://twitter.com/KelynNaturals/status/1538768661137473536,Positive Sentiment,FALSE,3,8.57E+59
shuvmsingh,i will build real make business website raised_back_of_hand backhand_index_pointing_right backhand_index_pointing_right,2022-08-22 00:35:28+00:00,Argentina,0,1,12,https://twitter.com/shuvmsingh/status/1561512343812845568,Positive Sentiment,FALSE,62,bbe4222c
sherrystanley,be so pure and antibacterial that the farmers who grow it do not need to use pesticides which be just one of amaze the reason it be excellent for help to get you clearer look skin,2022-08-28 14:55:11+00:00,Argentina,0,0,0,https://twitter.com/sherrystanley/status/1563903025923727367,Positive Sentiment,FALSE,45,f32a3595
AdsmithBroker,feature in 25 of prison art s most beautiful women marilyn monroe katrina la caldera katrina be a powerful symbol in mexican culture,2022-08-30 22:31:55+00:00,Argentina,0,0,0,https://twitter.com/AdsmithBroker/status/1564742739568336897,Positive Sentiment,FALSE,121,ee407a10
themintroots1,it be a fresh and easy to use hand wash formulation,2022-08-29 08:24:39+00:00,Argentina,0,0,0,https://twitter.com/themintroots1/status/1564167129296928771,Positive Sentiment,FALSE,4,01cf6965
cruzithing,the secret be coconut oil and coconut motion,2022-08-30 23:30:00+00:00,Argentina,0,0,2,https://twitter.com/cruzithing/status/1564757358542065664,Negative Sentiment,FALSE,2630,711e07b5
queenbbeauty_,new collection drop 4 2022 raising_hands_medium_skin_tone candy land inspire makeup smiling_face_with_heart eye,2022-02-27 01:25:27+00:00,Mexico,0,2,5,https://twitter.com/queenbbeauty_/status/1497744655416446981,Neutral Sentiment,FALSE,208,968d1a44
thessoaps,our unique and incredibly effective 3 milk lavender soap be up now backhand_index_pointing_right we handicrafts 3 milk lavender soap in small batch in brentford california usa so that you get your soap fresh and new every time,2022-07-08 14:39:01+00:00,Argentina,0,0,0,https://twitter.com/thessoaps/status/1545417172737859584,Positive Sentiment,FALSE,16,a1eed90e
thatjanravens,rock on you silver view,2022-08-27 21:29:37+00:00,Argentina,0,0,0,https://twitter.com/thatjanravens/status/1563639896501354498,Neutral Sentiment,TRUE,14842,60c7f6d2
JoeHollywoodLA,musical_score what a difference a year make 361 little days musical_notes thumbs_up remember that pic from last year,2022-07-15 02:38:35+00:00,Argentina,0,0,0,https://twitter.com/JoeHollywoodLA/status/1547772587647721474,Negative Sentiment,FALSE,617,a1909fed
SkinYouth,alpha hydroxy acid skin benefit and sincere products guide any woman could benefit from,2022-08-14 02:03:09+00:00,Argentina,0,0,0,https://twitter.com/SkinYouth/status/1558635305955217408,Neutral Sentiment,FALSE,1409,d9cd1006
bluebeautifly,design for normal oily or combination skin this fabulous tower call the skin and reduce irritation and redress while normalize serum production and fight bacteria,2022-08-30 20:29:19+00:00,Argentina,0,0,1,https://twitter.com/bluebeautifly/status/1564711888415604737,Positive Sentiment,FALSE,4633,9813e3ee
Vasuhealthcare,maintain a youthful appearance of your skin naturally vast facial beauty oil be 100 natural face oil,2022-08-29 11:30:00+00:00,Argentina,0,0,0,https://twitter.com/Vasuhealthcare/status/1564213774751395840,Positive Sentiment,FALSE,1390,963ad24a
KaneleeHedley2,my boyfriend song look,2022-08-30 18:54:30+00:00,Argentina,0,0,2,https://twitter.com/KaneleeHedley2/status/1564688025690558464,Neutral Sentiment,FALSE,125,f9656358
CrownBrush,crown brush labor day sale start now get 40 off statewide with code ld40 crown,2022-08-30 18:40:40+00:00,Argentina,0,0,1,https://twitter.com/CrownBrush/status/1564684543206072320,Neutral Sentiment,FALSE,25289,38e5bb48
OrganiqueL,make your order now woman_dancing,2022-08-30 07:06:49+00:00,Argentina,0,0,4,https://twitter.com/OrganiqueL/status/1564509933432741889,Neutral Sentiment,FALSE,963,27961fdd
_g_schoepf,the world need more venus less be,2022-04-20 13:16:40+00:00,United Kingdom,1,0,5,https://twitter.com/_g_schoepf/status/1516767810474725376,Positive Sentiment,FALSE,335,c4b3a469
mvphaircare1,people be pitch expensive hair products for mvp hair care products find out why healthy hair for the first time in decades,2022-08-25 14:44:48+00:00,Argentina,0,0,0,https://twitter.com/mvphaircare1/status/1562813248235503618,Negative Sentiment,FALSE,9,bf499d89
TeamMusicLov3rz,our brand our story our online store be now open,2022-08-30 17:15:15+00:00,Argentina,0,0,0,https://twitter.com/TeamMusicLov3rz/status/1564663050753511432,Positive Sentiment,FALSE,59609,f502d5fc
IkransCosmetics,our make up sale be on fire 25 off select products label this special deal be only available for a very limit time star strike grab your discount today shopping_cart,2022-08-30 14:15:07+00:00,Argentina,0,1,3,https://twitter.com/IkransCosmetics/status/1564617718430588932,Neutral Sentiment,FALSE,571,6b99f28a
CsMantra,script your eyebrows with the best eyebrows cosmetics to create well define eyebrows the super fine texture of our brow powder help you create soft and natural look eyebrows effortlessly,2022-07-26 20:00:28+00:00,Argentina,0,0,0,https://twitter.com/CsMantra/status/1552021051797917698,Positive Sentiment,FALSE,247,2abfa09b
UgcJenaya,this product game my baby hairs and flyaway smiling_face_with_heart eye,2022-08-21 18:12:28+00:00,Argentina,0,0,4,https://twitter.com/UgcJenaya/status/1561415956642942976,Positive Sentiment,FALSE,242,2424bfe6
BeautyPackaging,trendalytics release its beauty forecast 2023 report and here be 4 key beauty trend that we can expect to see lipstick right_arrow,2022-06-04 12:44:14+00:00,Argentina,0,0,0,https://twitter.com/BeautyPackaging/status/1533067101560360960,Positive Sentiment,FALSE,11497,50a8b694
vjplastics,cosmetic soft tube plastic squeeze bottle for cream sincere,2022-06-28 06:24:38+00:00,Argentina,0,0,0,https://twitter.com/vjplastics/status/1541668882150174720,Neutral Sentiment,FALSE,4,7e93a289
Merrini,daily mandal 289 hydrangeas and lace see this instagram post by,2022-08-30 23:45:10+00:00,Argentina,0,0,0,https://twitter.com/Merrini/status/1564761175258193924,Neutral Sentiment,FALSE,72,a8b59516
kiranclinic,Proper skin care lead to consult with our skin specialists right away for clearer skin smiling_face_with_halo smiling_face_with_hearts call us on 91 9885711433 visit us,2022-08-17 09:00:19+00:00,Argentina,0,2,4,https://twitter.com/kiranclinic/status/1559827452964339712,Positive Sentiment,FALSE,704,aa24a98c
RachaElll_11,i have pretty sensitive skin and i have to say the dermalogica special facial gel be the best face wash i have ever use highly recommend,2022-07-04 13:30:52+00:00,Argentina,0,0,1,https://twitter.com/RachaElll_11/status/1543950471479676928,Positive Sentiment,FALSE,191,765b0ee5
Teeswhipped,i be say yes to hydrate and nurse do want in on this yes come visit and shop our website link in bio yellow_heart face_blowing_a_kiss face_blowing_a_kiss,2022-05-24 19:51:11+00:00,Argentina,0,0,1,https://twitter.com/Teeswhipped/status/1529188277890060289,Neutral Sentiment,FALSE,23,a6336c8b
trypomelo,introduce polo a brand that be develop with a belief that groom for men amp women should be easy effortlessly amp natural,2022-08-30 19:48:12+00:00,Argentina,0,0,1,https://twitter.com/trypomelo/status/1564701541332045824,Positive Sentiment,FALSE,0,eb8b40fc
Dermiejan_cbe,we be here to help to get flawless fabulous glow skin contact 9786691663 9943339041 mail dr nandhinidermieclinic visit,2022-08-29 09:20:46+00:00,Argentina,0,1,0,https://twitter.com/Dermiejan_cbe/status/1564181252722536448,Positive Sentiment,FALSE,0,cd969f53
myladykind,enter our giveaway all entries must be submit through at,2022-08-29 18:13:49+00:00,Argentina,0,0,0,https://twitter.com/myladykind/status/1564315397536395264,Neutral Sentiment,FALSE,57,ab6598dd
brandless,treat yourself to a little spark self care spark with our brilliant beauty activator gently cleanse script and tone your skin to reveal your natural glow shop,2022-08-30 22:01:37+00:00,Argentina,0,0,2,https://twitter.com/brandless/status/1564735117083418625,Positive Sentiment,TRUE,15218,e50b5c4c
BeautyfromHead2,who need a glow up sunrise supercharger your glow and get radiant look skin in a second with our new vitamin c glow reveal serum,2022-08-30 15:00:13+00:00,Argentina,0,0,0,https://twitter.com/BeautyfromHead2/status/1564629068439502849,Positive Sentiment,FALSE,4,0efbcb3c
PotterZoeanne,tangerine vitamin c be my absolute favourite beauty ingredient for a glow complexion and this total sincere regime of advance boost products be just the thing orange_heart get all 3 for Px26,2022-08-29 12:40:25+00:00,Argentina,0,0,0,https://twitter.com/PotterZoeanne/status/1564231494893293568,Positive Sentiment,FALSE,29,0b6d93c4
LynzVICIOUS,be the mvp for make me feel like a hippie mermaid today growing_heart,2022-07-14 20:30:02+00:00,Mexico,0,0,0,https://twitter.com/LynzVICIOUS/status/1547679838470676481,Positive Sentiment,FALSE,575,968eec87
news_cosmetics,body glitter be the hottest beauty trend this summer find cult beauty,2022-06-27 07:10:00+00:00,Argentina,0,0,0,https://twitter.com/news_cosmetics/status/1541317908285911040,Positive Sentiment,FALSE,2416,51f54288
glamotcom,be your favorite spf free no worry smiling_face_with_sunglasses give uva amp vb defense to any your moisturizer or foundation umbrella_on_ground,2022-07-16 04:00:42+00:00,Argentina,0,0,0,https://twitter.com/glamotcom/status/1548155637762142208,Neutral Sentiment,FALSE,38,d57004fd
Bodytales1,it be not just a substance that you put on your skin your skin have a memory in ten twenty or thirty years from now your skin will show the result of how it be treat today so treat it kindly globe_with_meridian,2022-08-29 14:25:39+00:00,Argentina,0,0,0,https://twitter.com/Bodytales1/status/1564257980819783681,Positive Sentiment,FALSE,2,bdb4e893
pulpveda,vitamin c form face wash have anti age properties that help in improve skin tone texture and reduce the appearance of dark spot get yours now link in bio vocalforlocalindia,2022-08-27 17:14:49+00:00,Argentina,1,0,3,https://twitter.com/pulpveda/status/1563575774669869056,Positive Sentiment,FALSE,22,725059a4
